Topic,Topic.1,Topic.2,Topic.3,Topic.4,Topic.5,Topic.6,Topic.7,Topic.8,Topic.9
0.97087,2.7e-4,2.7e-4,2.7e-4,2.7e-4,2.7e-4,2.7e-4,2.7e-4,2.7e-4,0.027
0.89999,0.01111,0.01111,0.01111,0.01111,0.01111,0.01111,0.01111,0.01111,0.01111
0.98394,1.8e-4,1.8e-4,1.8e-4,1.8e-4,1.8e-4,0.01463,1.8e-4,1.8e-4,1.8e-4
0.91487,7.5e-4,7.5e-4,7.5e-4,7.5e-4,7.5e-4,7.5e-4,0.07916,7.5e-4,7.5e-4
0.95744,1.9e-4,0.01443,1.9e-4,1.9e-4,1.9e-4,1.9e-4,1.9e-4,0.02681,1.9e-4
0.99579,4.7e-4,4.7e-4,4.7e-4,4.7e-4,4.7e-4,4.7e-4,4.7e-4,4.7e-4,4.7e-4
0.96866,0.02836,3.7e-4,3.7e-4,3.7e-4,3.7e-4,3.7e-4,3.7e-4,3.7e-4,3.7e-4
0.97506,3e-4,3e-4,3e-4,3e-4,3e-4,0.02253,3e-4,3e-4,3e-4
0.93483,2.9e-4,2.9e-4,2.9e-4,2.9e-4,0.06284,2.9e-4,2.9e-4,2.9e-4,2.9e-4
0.96636,4.3e-4,4.3e-4,4.3e-4,4.3e-4,4.3e-4,0.03016,4.3e-4,4.3e-4,4.3e-4
0.99626,4.2e-4,4.2e-4,4.2e-4,4.2e-4,4.2e-4,4.2e-4,4.2e-4,4.2e-4,4.2e-4
0.89844,3.3e-4,3.3e-4,0.02063,3.3e-4,3.3e-4,3.3e-4,3.3e-4,3.3e-4,0.07863
0.99434,6.3e-4,6.3e-4,6.3e-4,6.3e-4,6.3e-4,6.3e-4,6.3e-4,6.3e-4,6.3e-4
0.98411,3.3e-4,3.3e-4,3.3e-4,0.01327,3.3e-4,3.3e-4,3.3e-4,3.3e-4,3.3e-4
0.97686,2.9e-4,2.9e-4,2.9e-4,2.9e-4,2.9e-4,2.9e-4,0.0208,2.9e-4,2.9e-4
0.9709,0.02775,1.7e-4,1.7e-4,1.7e-4,1.7e-4,1.7e-4,1.7e-4,1.7e-4,1.7e-4
0.99552,5e-4,5e-4,5e-4,5e-4,5e-4,5e-4,5e-4,5e-4,5e-4
0.99638,4e-4,4e-4,4e-4,4e-4,4e-4,4e-4,4e-4,4e-4,4e-4
0.00385,0.00385,0.00385,0.00385,0.05293,0.00385,0.00385,0.00385,0.77491,0.14523
0.12344,0.50197,3.3e-4,0.13406,3.3e-4,3.3e-4,3.3e-4,3.3e-4,0.16294,0.07596
1.2e-4,1.2e-4,0.39708,0.28192,1.2e-4,1.2e-4,1.2e-4,1.2e-4,0.15429,0.16602
3.3e-4,3.3e-4,0.16118,0.34728,3.3e-4,3.3e-4,0.32292,3.3e-4,3.3e-4,0.16662
3.7e-4,3.7e-4,0.83387,0.16317,3.7e-4,3.7e-4,3.7e-4,3.7e-4,3.7e-4,3.7e-4
1.9e-4,1.9e-4,1.9e-4,1.9e-4,1.9e-4,1.9e-4,1.9e-4,1.9e-4,1.9e-4,0.99831
0.59133,0.00116,0.05222,0.00116,0.00116,0.00116,0.00116,0.00116,0.34832,0.00116
0.07378,0.05693,0.55524,0.20633,3.7e-4,3.7e-4,0.02293,3.7e-4,0.05859,0.02508
